[Monday 537 of September 2022 07:26:37 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 509 of September 2022 07:27:09 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 555 of September 2022 07:34:55 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 551 of September 2022 07:47:51 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 547 of September 2022 08:10:47 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 549 of September 2022 08:10:49 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 503 of September 2022 08:18:03 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 520 of September 2022 08:47:20 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

[Monday 522 of September 2022 08:47:22 PM]Ошибка: Call to undefined function core\str_contains() | Файл: C:\OpenServer\domains\simple-mvc\vendor\core\Router.php | Строка 60

